Number;Label;"Weighted All Degree of N1 (616)";"All closeness centrality in N1 (616)";"Betweenness centrality in N1 (616)";"Clustering Coefficients CC1 in N1 (616)";"Clustering Coefficients CC1' in N1 (616)";"Distribution of Distances in N1 (20)";"Centers in N1 [w,w] (616)"
470;rapidez;1;0,172871573;0;999999998;999999998;;0
471;razoavel;1;0,184574995;0;999999998;999999998;;0
472;razoável;6;0,274689999;0,009038093;0,100000000;0,011320755;;0
473;razão;4;0,237654403;0,003437320;0;0;;0
474;real;7;0,227551310;0,005944578;0;0;;0
475;realizar;2;0,159759463;0,004143164;0;0;;0
476;realmente;2;0,234879854;0,001578276;0;0;;0
477;recem;2;0,253010216;7,0140831E-4;0;0;;0
478;recem-inaugurado;0;0;0;999999998;999999998;;1
479;recente;2;0,179907974;0,001292339;0;0;;0
480;recepcao;2;0,202022700;0,009946070;0;0;;0
481;recepção;2;0,171600458;0;0;0;;2
482;reclamar;1;0,170547079;0;999999998;999999998;;0
483;reclamação;2;0,161305380;0,002684638;0;0;;0
484;recomer;6;0,222094236;0,006909994;0;0;;0
485;recordar;2;0,120123854;0,001435343;0;0;;3
486;rede;12;0,287551286;0,013530112;0,066666667;0,012578616;;0
487;redentor;2;0,147333727;0,005407696;0;0;;2
488;redondeza;3;0,238431368;0,007586304;0;0;;0
489;redor;2;0,254001549;0,002207564;0;0;;0
490;regiao;2;0,213246184;4,5535043E-4;0;0;;0
491;região;3;0,197776799;0,004759329;0;0;;0
492;relativamente;2;0,204429418;0,001287042;0;0;;0
493;relação;2;0,166792898;0,002822346;0;0;;2
494;residente;2;0,163154798;0,002945720;0;0;;2
495;resolver;2;0,162699821;0,002962080;0;0;;2
496;ressalva;2;0,223540827;0,003777952;0;0;;0
497;restaurante;6;0,259538060;0,009131249;0;0;;0
498;resto;2;0,229430420;9,2688223E-5;0;0;;0
499;restriçoes;1;0,189060777;0;999999998;999999998;;0
500;retirado;2;0,189429077;0,001154563;0;0;;0
501;reveillon/13;1;0,231708323;0;999999998;999999998;;0
502;revezar;2;0,221925279;9,9805157E-4;0;0;;0
503;rio;21;0,287693076;0,030830156;0,022058824;0,007075472;;0
504;rj;3;0,254333722;0,019081968;0;0;;0
505;roupa;2;0,217620872;0,008727673;0;0;;0
506;rua;7;0,231708323;0,011841047;0;0;;0
507;rápido;3;0,240892468;0,001472983;0,166666667;0,009433962;;0
508;réveillon;5;0,233190071;0,014068675;0;0;;0
509;saber;4;0,220416154;0,004746075;0;0;;0
510;saboroso;1;0,204644531;0;999999998;999999998;;0
511;saguão;1;0,229611003;0;999999998;999999998;;0
512;sai;2;0,253670243;0,002491823;0;0;;0
513;sair;3;0,219917662;0,001420794;0;0;;0
514;sala;1;0,003246753;0;999999998;999999998;;1
515;salgado;6;0,254112177;0,005342386;0;0;;0
516;santo;2;0,121525007;0,001300283;0;0;;3
517;sao;4;0,261632986;0,001439199;0,083333333;0,006289308;;0
518;sebento;2;0,214264252;0,004309782;0;0;;0
519;seguir;2;0,243811767;6,1697645E-4;0;0;;0
520;semana;4;0,230974489;0,002884180;0;0;;0
521;sempre;4;0,261398548;0,002109356;0,083333333;0,006289308;;0
522;seriviço;2;0,187662129;3,3330674E-4;0;0;;0
523;servir;2;0,234219815;0,001343470;0;0;;0
524;serviço;8;0,266899158;0,016606007;0;0;;0
525;setembro;4;0,190232005;0,001297635;0;0;;0
526;silencioso;4;0,255559158;0,007635158;0,083333333;0,006289308;;0
527;simpaticos;1;0,213949966;0;999999998;999999998;;0
528;simples;8;0,285441076;0,008484494;0,107142857;0,016172507;;0
529;simpático;4;0,215292088;0,003578009;0,083333333;0,006289308;;0
530;sistema;2;0,224659822;0,001287042;0;0;;0
531;so;2;0,252900545;0,001287042;0;0;;0
532;sobre;1;0,227196869;0;999999998;999999998;;0
533;sobrecarga;2;0,161216236;0,002589974;0;0;;2
534;solicitar;2;0,243100649;0,002758285;0;0;;0
535;somente;2;0,155584416;0,002592622;0;0;;2
536;sono;2;0,234690892;2,4891468E-4;0,500000000;0,018867925;;0
537;split;4;0,235543625;0,003345215;0,166666667;0,012578616;;0
538;sr;2;0,203077466;0,001316173;0;0;;0
539;staff;5;0,219751999;0,006178331;0,050000000;0,004716981;;0
540;suco;4;0,227373951;0,002848139;0;0;;0
541;sul;2;0,222348155;0,001424750;0;0;;0
542;sumo;0;0;0;999999998;999999998;;1
543;super;6;0,267879503;0,005372122;0,200000000;0,018867925;;0
544;supermecado;2;0,209118838;2,1587429E-4;0;0;;0
545;supermercado;2;0,254777973;5,1687815E-4;0;0;;0
546;tamanho;2;0,222348155;0,001292339;0;0;;0
547;tanto;2;0,158199989;0,005179948;0;0;;2
548;tao;2;0,161349989;0,005482126;0;0;;0
549;tarde;4;0,176426235;0,007049882;0;0;;0
550;tardio;2;0,207041007;0,002047596;0;0;;0
551;tarifa;4;0,238528846;0,004624545;0;0;;0
552;taxa;5;0,208223254;0,009307601;0;0;;0
553;taxi;5;0,252026591;0,004313571;0;0;;0
554;taxista;3;0,235924609;0,010487010;0;0;;0
555;tela;2;0,177824309;0,001294987;0;0;;3
556;tempo;4;0,239311550;0,007270568;0;0;;0
557;temporada;2;0,204716336;0;999999998;999999998;;0
558;thiago;2;0,178095714;3,1778819E-5;0;0;;0
559;tipicamente;2;0,256570606;0,001525374;0;0;;0
560;toalha;3;0,232169343;0,002373551;0;0;;0
561;todo;14;0,274044884;0,032781609;0,006410256;0,001572327;;0
562;tomado;2;0,208819455;0,001424750;0,500000000;0,018867925;;0
563;tomar;10;0,257590092;0,020445022;0;0;;0
564;tomográfico;2;0,159105961;0,004290141;0;0;;0
565;total;2;0,178969803;0,002808012;0;0;;0
566;totalmente;2;0,261867845;0;1;0,037735849;;0
567;tranquilo;1;0,180856032;0;999999998;999999998;;0
568;tranqüilo;2;0,253339800;0,001400916;0;0;;0
569;trazer;2;0,162473283;8,4810775E-5;0;0;;2
570;troca;4;0,205364857;0,014295012;0;0;;6,891246684
571;trocar;2;0,210173472;0,001730000;0;0;;0
572;trás;2;0,200771355;0,002008637;0;0;;0
573;três;4;0,229340235;1,4241816E-4;0,166666667;0,009433962;;0
574;tudo;12;0,260581312;0,009291785;0,027777778;0,004716981;;0
575;tv;2;0,217296670;0,002584677;0;0;;0
576;táxi;6;0,240198254;0,015198940;0;0;;0
577;ultimar;2;0,234974450;3,0038407E-4;0;0;;0
578;um-forma;2;0,175049973;0,002584677;0;0;;0
579;unidade;2;0,234502234;0,001292339;0;0;;0
580;usar;2;0,181193031;0,002709144;0;0;;2
581;vale;6;0,240000641;0,004082606;0;0;;0
582;valer;2;0,222857738;0,001421978;0;0;;0
583;valor;10;0,250834720;0,010118461;0,013888889;0,002358491;;0
584;vantagem;1;0,234313879;0;999999998;999999998;;0
585;variar;2;0,193256561;0,005169355;0;0;;0
586;variedade;2;0,194027788;0,002900016;0;0;;0
587;vazio;2;0,181080558;0,001414157;0;0;;0
588;vc;2;0,256120087;0;0;0;;0
589;vedação;2;0,218763239;0,002640290;0;0;;0
590;velocidade;2;0,250619226;0,001632576;0;0;;0
591;verdadeiro;1;0,252353615;0;999999998;999999998;;0
592;verde;1;0,154923409;0;999999998;999999998;;0
593;vez;8;0,253339800;0,008927007;0,017857143;0,002695418;;0
594;viagem;2;0,219256504;0;0;0;;0
595;viajar;1;0,152773385;0;999999998;999999998;;0
596;visitar;1;0,222094236;0;999999998;999999998;;0
597;visto;5;0,217702074;0,019978832;0;0;;0
598;viv;1;0,096213977;0;999999998;999999998;;0
599;vizinhança;1;0,249760941;0;999999998;999999998;;0
600;voltar;3;0,234785335;0,002120416;0;0;;0
601;volume;2;0,206454904;6,1399327E-4;0;0;;0
602;voo;1;0,149408850;0;999999998;999999998;;0
603;vário;4;0,222263451;0,006448723;0;0;;0
604;wi;1;0,216089466;0;999999998;999999998;;0
605;wi-fi;5;0,246802690;0,003316250;0,050000000;0,004716981;;0
606;wifi;3;0,227906859;0,001551464;0,166666667;0,009433962;;0
607;windows;2;0,148496197;0,001294987;0;0;;3
608;zona;2;0,252572103;0,001287042;0;0;;0
609;gua;2;0,190418263;0,001430047;0;0;;0
610;rea;2;0,229520676;2,5713960E-4;0;0;;0
611;bis;7;0,283913167;0,014340026;0,150000000;0,014150943;;0
612;dem;1;0,164442378;0;999999998;999999998;;0
613;timo;10;0,273916225;0,011729129;0,071428571;0,009433962;;0
614;nibus;1;0,184050965;0;999999998;999999998;;0
615;ltimo;2;0,208595480;0,002261756;0;0;;0
616;nico;3;0,190791877;0,007281505;0;0;;0
