Number;Label;"Weighted All Degree of N1 (616)";"All closeness centrality in N1 (616)";"Betweenness centrality in N1 (616)";"Clustering Coefficients CC1 in N1 (616)";"Clustering Coefficients CC1' in N1 (616)";"Distribution of Distances in N1 (20)";"Centers in N1 [w,w] (616)"
109;business;2;0,268743233;0;1;0,037735849;;0
110;básico;4;0,235924609;0,002797217;0;0;;0
111;cabelo;2;0,175894350;0,004172073;0;0;;2
112;cabo;2;0,182782443;0,001550453;0;0;;0
113;cafe;4;0,232169343;0,004645180;0;0;;0
114;café;37;0,296163228;0,066199192;0,019762846;0,008576329;;0
115;calmo;2;0,187360809;0,001424750;0;0;;0
116;cama;10;0,276381600;0,019962571;0;0;;0
117;camareira;2;0,227020062;0,005206710;0;0;;0
118;caminhada;2;0,190356137;0,001492232;0;0;;0
119;caminhar;2;0,222009725;0,001292339;0;0;;0
120;caminho;2;0,212237744;0,003889784;0;0;;0
121;canal;2;0,183934918;0,001412745;0;0;;0
122;cansaço;1;0,121222015;0;999999998;999999998;;0
123;cardeal;6;0,217215770;0;0,500000000;0,037735849;;0
124;caro;7;0,268991037;0,007501314;0;0;;0
125;carpete;2;0,229791870;0,001430047;0;0;;0
126;carro;4;0,251809046;0,005297080;0;0;;0
127;casa;6;0,250296679;0,005295108;0,050000000;0,004716981;;0
128;castro;2;0,106740131;0,001440640;0;0;;3
129;causa;2;0,191417834;0,010624719;0;0;;0
130;cedo;2;0,196378848;6,6683187E-4;0;0;;0
131;ceia/jantar;2;0,188816038;0,004280872;0;0;;0
132;cerca;2;0,254555654;5,3633302E-4;0;0;;0
133;cereal;2;0,195851480;0,001296708;0;0;;0
134;certeza;3;0,194415714;0,001982708;0;0;;0
135;certo;2;0,198584601;0,002568788;0;0;;0
136;chamar;2;0,164164760;0,009152447;0;0;;0
137;chao;2;0,174578563;0,009971620;0;0;;0
138;charmoso;1;0,187360809;0;999999998;999999998;;0
139;check;20;0,246698333;0,019174884;0;0;;0
140;check-in;3;0,210097788;0,004274251;0;0;;0
141;chefe;2;0,195065717;0,001557126;0;0;;0
142;chegar;2;0,179520480;7,9447049E-6;0;0;;2
143;cheio;3;0,251483430;0,001841235;0;0;;0
144;chuveiro;4;0,236402576;0,004354912;0;0;;0
145;chuveiro/banheiro;1;0,246074044;0;999999998;999999998;;0
146;cidade;3;0,234408019;0,001287042;0,500000000;0,018867925;;0
147;circular;2;0,219669261;7,5678043E-4;0;0;;0
148;cituado;2;0,248696316;8,1504555E-4;0;0;;0
149;cliente;1;0,194286233;0;999999998;999999998;;0
150;cobrar;2;0,214106994;0,001287042;0;0;;0
151;cofre;3;0,237074993;9,9838609E-4;0,166666667;0,009433962;;0
152;coisa;2;0,176053578;0,003444885;0;0;;0
153;colocado;2;0,186522237;0,009833912;0;0;;0
154;comodidade;2;0,223028119;4,0129759E-4;0;0;;0
155;comparacão;2;0,239311550;6,1930560E-4;0;0;;0
156;comparar;4;0,242293006;0,002672824;0;0;;0
157;comparação;2;0,234408019;0,001424750;0,500000000;0,018867925;;0
158;compatível;2;0,203360599;0,001715984;0;0;;0
159;compensar;3;0,216329833;6,1365457E-4;0;0;;0
160;completamente;2;0,261867845;0;1;0,037735849;;0
161;complicado;2;0,224314325;0,001343783;0;0;;0
162;comprar;2;0,169802549;0,001551866;0;0;;0
163;comum;2;0,190979234;0,002813485;0;0;;2
164;condição;1;0,241191219;0;999999998;999999998;;0
165;conexão;2;0,250296679;0,001413756;0;0;;0
166;conforto;6;0,254777973;0,010678434;0;0;;0
167;confortável;14;0,287693076;0,024585111;0,012820513;0,003144654;;0
168;conhecer;2;0,004870130;2,6482350E-6;0;0;;4
169;consequentemente;2;0,138420299;0,001297635;0;0;;3
170;conservar;1;0,232261767;0;999999998;999999998;;0
171;considerando;4;0,234031913;0,003581526;0;0;;0
172;consideração;1;0,155501481;0;999999998;999999998;;0
173;conta;2;0,236498402;2,5519667E-4;0;0;;0
174;contrário;2;0,234502234;0,001430047;0;0;;0
175;convidativo;2;0,214028451;0,001354524;0;0;;0
176;copa;6;0,269861960;0,008132269;0;0;;0
177;copacabana;47;0,303875812;0,078915441;0,008620690;0,004716981;;0
178;cor;4;0,213012617;0,007067689;0;0;;0
179;coração;2;0,183472188;0,001594105;0;0;;0
180;cordial;2;0,240594457;0,001377212;0;0;;0
181;cordialidade;3;0,202654241;0,002595270;0;0;;0
182;corrido;2;0,217054151;0,001640692;0;0;;0
183;cortina;1;0,152573629;0;999999998;999999998;;0
184;crianças.recomendo;1;0,179189668;0;999999998;999999998;;0
185;cristo;2;0,172718046;0,005269988;0;0;;2
186;cuidado;4;0,242696156;0,008829760;0;0;;0
187;curtir;1;0,003246753;0;999999998;999999998;;0
188;custo;6;0,253559999;0,002893130;0;0;;0
189;dar;4;0,214421741;0,004553995;0;0;;0
190;de+a;6;0,237557638;0;0,500000000;0,018867925;;0
191;decente;2;0,224746363;0,001620349;0;0;;0
192;deixa;2;0,233003817;0,001925483;0;0;;0
193;deixar;3;0,196577344;0,002051253;0;0;;0
194;demora;7;0,234690892;0,009550555;0;0;;0
195;demorado;3;0,225877491;0,007822173;0;0;;0
196;dentro;2;0,251375079;9,8728196E-4;0;0;;0
197;desdobrar;2;0,205581944;0,001821828;0;0;;0
198;desejar;4;0,205292596;0,004185597;0;0;;0
199;desistir;1;0,106701090;0;999999998;999999998;;0
200;desorganização;2;0,200426506;0,001671344;0;0;;0
201;destaque;3;0,207852354;0,002287940;0;0;;0
202;desvantagem;0;0;0;999999998;999999998;;1
203;deve;5;0,239803353;0,007856111;0;0;;0
204;dever;6;0,228085050;0,014727783;0;0;;0
205;dia;16;0,294667454;0,046382427;0,004761905;0,001347709;;0
206;diante;2;0,237751246;0,001259446;0;0;;0
207;diaria;7;0,263523739;0,006645022;0;0;;0
208;difícil;3;0,222517757;0,001432695;0;0;;0
209;dilma;3;0,211545163;0,002578651;0;0;;0
210;dinheiro;2;0,166792898;0,010762427;0;0;;0
211;discussão;2;0,234879854;0,001573798;0;0;;0
212;disponível;3;0,211621893;8,0446288E-4;0,166666667;0,009433962;;0
213;distância;1;0,195457809;0;999999998;999999998;;0
214;dizer;1;0,132600354;0;999999998;999999998;;0
215;diário;5;0,234313879;0,002920210;0;0;;0
216;dois;6;0,259422658;0,004366814;0,050000000;0,004716981;;0
217;domingo;2;0,171298167;0,001432695;0;0;;3
218;dormir;2;0,204429418;0,001424750;0;0;;0
219;duas;6;0,219503972;0,011382261;0,050000000;0,004716981;;0
220;durante;1;0,170000454;0;999999998;999999998;;0
221;economizar;1;0,227196869;0;999999998;999999998;;0
222;edifício;2;0,188085609;0,003083428;0;0;;0
223;educado;4;0,242192428;0,003158940;0;0;;0
224;elegios;2;0,219586586;0,001465953;0;0;;0
225;elevador;3;0,233003817;0,001561069;0;0;;0
226;elogio;2;0,136381851;0,003892905;0;0;;0
227;embora;4;0,246385793;0,002208089;0;0;;0
228;encarecer;1;0,161662942;0;999999998;999999998;;0
229;encontrar;6;0,247640729;0,016181586;0;0;;0
230;entrar;1;0,200151478;0;999999998;999999998;;0
231;entretanto;2;0,225180069;0,002934925;0;0;;0
232;então;10;0,263523739;0,020006258;0;0;;0
233;equipe;9;0,232632200;0,012026985;0,013888889;0,002358491;;0
234;espartano;1;0,223626508;0;999999998;999999998;;0
235;especial;4;0,255335474;0,007087969;0,083333333;0,006289308;;0
236;esperar;10;0,264239836;0,027065385;0,011111111;0,002096436;;0
237;esquina;2;0,232076992;0,002951193;0;0;;0
238;essencial;1;0,128880397;0;999999998;999999998;;0
239;estacionamento;2;0,200426506;0,001754110;0;0;;0
240;estada;2;0,221084334;0,001424750;0;0;;0
241;estadia;3;0,271242008;8,4489928E-4;0,333333333;0,018867925;;0
242;estao;2;0,241590707;0,002584677;0;0;;0
243;estar;47;0,329070253;0,120191296;0,016042781;0,010291595;;0
244;estaçao;2;0,201048090;2,6522704E-4;0;0;;0
245;estação;13;0,255559158;0,013482330;0,111111111;0,018867925;;0
246;esticar;2;0,208670085;0,001636521;0;0;;0
247;estranho;1;0,003246753;0;999999998;999999998;;1
248;etc;1;0,202092677;0;999999998;999999998;;0
249;exagerado;2;0,203715628;4,0289952E-4;0;0;;0
250;exatamente;1;0,200633273;0;999999998;999999998;;0
251;excelente;11;0,281447930;0,020424766;0,022222222;0,004192872;;0
252;excessivo;2;0,189737092;0,001374501;0;0;;0
253;existir;3;0,191480656;0,005455613;0;0;;0
254;expresso;2;0,257476416;0,005284870;0;0;;0
255;extensao;2;0,209871064;0,001318380;0;0;;0
256;facilmente;2;0,209268852;0,005132279;0;0;;0
257;fake;2;0,188206954;0,006461693;0;0;;0
258;fala;6;0,262574959;0,010007076;0,033333333;0,003773585;;0
259;famoso;4;0,241590707;0,002919572;0,333333333;0,018867925;;0
260;fazer;11;0,277564966;0,024635564;0;0;;0
261;ferir;2;0,256909537;0,001546696;0;0;;0
262;ficar;19;0,287126751;0,016554536;0,038461538;0,010159652;;0
263;fila;2;0,179852515;0,002706496;0;0;;0
264;final;2;0,213480263;1,0065213E-4;0;0;;0
265;flexível;2;0,197776799;0,002694205;0;0;;0
266;folha;2;0,245452906;1,9919771E-4;0;0;;0
267;forma;2;0,232632200;4,4182318E-4;0;0;;0
268;fornecer;2;0,221252013;0,001038309;0;0;;0
269;forte;1;0,213168271;0;999999998;999999998;;0
270;fossar;4;0,221672325;0,006036534;0;0;;0
271;fraco;3;0,226052522;0,003027169;0;0;;0
272;frente;3;0,252572103;0,001430047;0;0;;0
273;frigobar;4;0,220499455;0,010189153;0;0;;0
274;frio;2;0,205076119;0,004527626;0;0;;0
275;fruta;4;0,200840468;0,006838608;0;0;;0
276;fumar;2;0,215212674;0,001572667;0;0;;0
277;funcional;1;0,178095714;0;999999998;999999998;;0
278;funcionar;7;0,256007704;0,001655186;0,050000000;0,004716981;;0
279;funcionario;2;0,183819017;0,003877016;0;0;;0
280;funcionarios;5;0,234408019;0,016413471;0;0;;0
281;funcionário;1;0,155667438;0;999999998;999999998;;0
